"","Vorname","x","year"
"1","Alexander",449,2015
"2","Maximilian",383,2015
"3","Paul",367,2015
"4","Elias",338,2015
"5","Emil",313,2015
"6","Noah",270,2015
"7","Leon",262,2015
"8","Anton",255,2015
"9","Jonas",246,2015
"10","Felix",245,2015
"11","Oskar",245,2015
"12","Jakob",240,2015
"13","Luca",233,2015
"14","Theodor",219,2015
"15","Louis",216,2015
"16","David",207,2015
"17","Jonathan",200,2015
"18","Karl",196,2015
"19","Finn",192,2015
"20","Ali",190,2015
