"","Vorname","x","year"
"1","Marie",781,2015
"2","Sophie",682,2015
"3","Charlotte",463,2015
"4","Maria",410,2015
"5","Emilia",328,2015
"6","Emma",317,2015
"7","Anna",312,2015
"8","Mia",280,2015
"9","Johanna",279,2015
"10","Luise",276,2015
"11","Sophia",271,2015
"12","Elisabeth",230,2015
"13","Mila",199,2015
"14","Hannah",193,2015
"15","Ella",192,2015
"16","Lina",187,2015
"17","Clara",186,2015
"18","Lena",173,2015
"19","Emily",171,2015
"20","Lea",167,2015
