"","Vorname","x","year"
"1","Alexander",445,2013
"2","Paul",408,2013
"3","Maximilian",360,2013
"4","Elias",300,2013
"5","Luca",289,2013
"6","Emil",278,2013
"7","Anton",274,2013
"8","Felix",268,2013
"9","Leon",237,2013
"10","Noah",231,2013
"11","Jonas",230,2013
"12","Jakob",224,2013
"13","Ben",209,2013
"14","Oskar",209,2013
"15","Lukas",201,2013
"16","David",197,2013
"17","Julian",193,2013
"18","Jonathan",183,2013
"19","Benjamin",177,2013
"20","Louis",177,2013
