"","Vorname","x","year"
"1","Marie",762,2014
"2","Sophie",715,2014
"3","Maria",449,2014
"4","Charlotte",438,2014
"5","Emilia",356,2014
"6","Anna",316,2014
"7","Sophia",306,2014
"8","Emma",298,2014
"9","Luise",295,2014
"10","Mia",275,2014
"11","Johanna",262,2014
"12","Elisabeth",226,2014
"13","Emily",205,2014
"14","Lea",189,2014
"15","Hannah",184,2014
"16","Lena",175,2014
"17","Clara",172,2014
"18","Helene",171,2014
"19","Marlene",166,2014
"20","Hanna",165,2014
