"","Vorname","x","year"
"1","Alexander",446,2014
"2","Maximilian",409,2014
"3","Paul",394,2014
"4","Elias",376,2014
"5","Emil",300,2014
"6","Anton",297,2014
"7","Noah",292,2014
"8","Felix",258,2014
"9","Oskar",231,2014
"10","Leon",229,2014
"11","Jonas",227,2014
"12","David",223,2014
"13","Luca",219,2014
"14","Ben",217,2014
"15","Louis",208,2014
"16","Jonathan",202,2014
"17","Jakob",201,2014
"18","Karl",201,2014
"19","Moritz",185,2014
"20","Max",181,2014
