"","Vorname","x","year"
"1","Alexander",439,2018
"2","Maximilian",368,2018
"3","Paul",363,2018
"4","Emil",338,2018
"5","Elias",316,2018
"6","Anton",294,2018
"7","Noah",286,2018
"8","Leon",278,2018
"9","Karl",252,2018
"10","Oskar",238,2018
"11","Felix",232,2018
"12","David",226,2018
"13","Ali",219,2018
"14","Jonathan",215,2018
"15","Ben",212,2018
"16","Theodor",208,2018
"17","Louis",206,2018
"18","Jakob",204,2018
"19","Luca",204,2018
"20","Finn",189,2018
