"","Vorname","x","year"
"1","Marie",656,2018
"2","Sophie",541,2018
"3","Charlotte",467,2018
"4","Maria",439,2018
"5","Emilia",389,2018
"6","Anna",301,2018
"7","Emma",281,2018
"8","Mia",265,2018
"9","Johanna",256,2018
"10","Sophia",248,2018
"11","Elisabeth",229,2018
"12","Mila",228,2018
"13","Lina",215,2018
"14","Ella",213,2018
"15","Luise",211,2018
"16","Clara",186,2018
"17","Lea",185,2018
"18","Marlene",154,2018
"19","Mira",152,2018
"20","Hannah",151,2018
