"","Vorname","x","year"
"1","Marie",775,2012
"2","Sophie",719,2012
"3","Maria",401,2012
"4","Charlotte",388,2012
"5","Emilia",310,2012
"6","Mia",300,2012
"7","Emma",295,2012
"8","Johanna",280,2012
"9","Luise",279,2012
"10","Anna",267,2012
"11","Sophia",248,2012
"12","Helene",188,2012
"13","Elisabeth",185,2012
"14","Lea",173,2012
"15","Lina",172,2012
"16","Luisa",169,2012
"17","Leonie",164,2012
"18","Lena",163,2012
"19","Hannah",159,2012
"20","Emily",156,2012
