"","Vorname","x","year"
"1","Alexander",451,2012
"2","Paul",429,2012
"3","Maximilian",390,2012
"4","Elias",322,2012
"5","Luca",296,2012
"6","Emil",279,2012
"7","Anton",277,2012
"8","Felix",270,2012
"9","Leon",255,2012
"10","Jakob",241,2012
"11","Ben",219,2012
"12","David",219,2012
"13","Jonas",214,2012
"14","Oskar",213,2012
"15","Noah",206,2012
"16","Lukas",193,2012
"17","Max",190,2012
"18","Benjamin",183,2012
"19","Jonathan",180,2012
"20","Julian",176,2012
