"","Vorname","x","year"
"1","Marie",733,2013
"2","Sophie",672,2013
"3","Charlotte",433,2013
"4","Maria",394,2013
"5","Emilia",348,2013
"6","Mia",326,2013
"7","Emma",278,2013
"8","Anna",276,2013
"9","Sophia",275,2013
"10","Johanna",267,2013
"11","Luise",262,2013
"12","Elisabeth",220,2013
"13","Helene",181,2013
"14","Emily",170,2013
"15","Ella",167,2013
"16","Lara",162,2013
"17","Laura",157,2013
"18","Greta",153,2013
"19","Lea",152,2013
"20","Lina",151,2013
