"","Vorname","x","year"
"1","Alexander",437,2017
"2","Paul",391,2017
"3","Maximilian",352,2017
"4","Emil",328,2017
"5","Noah",302,2017
"6","Elias",291,2017
"7","Anton",282,2017
"8","Felix",271,2017
"9","Oskar",250,2017
"10","Karl",248,2017
"11","Leon",243,2017
"12","Ben",239,2017
"13","Louis",238,2017
"14","Jakob",234,2017
"15","Jonas",230,2017
"16","Ali",223,2017
"17","David",211,2017
"18","Luca",197,2017
"19","Jonathan",195,2017
"20","Theodor",195,2017
