"","Vorname","x","year"
"1","Alexander",467,2016
"2","Paul",383,2016
"3","Elias",371,2016
"4","Maximilian",344,2016
"5","Emil",295,2016
"6","Noah",294,2016
"7","Anton",283,2016
"8","Felix",283,2016
"9","Oskar",265,2016
"10","Jonas",264,2016
"11","Leon",255,2016
"12","Theodor",229,2016
"13","Ben",216,2016
"14","Luca",214,2016
"15","Karl",206,2016
"16","Ali",205,2016
"17","Louis",203,2016
"18","Jonathan",200,2016
"19","Jakob",199,2016
"20","David",195,2016
