"","Vorname","x","year"
"1","Marie",695,2016
"2","Sophie",649,2016
"3","Charlotte",495,2016
"4","Maria",403,2016
"5","Emilia",382,2016
"6","Anna",305,2016
"7","Emma",305,2016
"8","Mia",302,2016
"9","Sophia",290,2016
"10","Johanna",270,2016
"11","Luise",263,2016
"12","Elisabeth",241,2016
"13","Mila",194,2016
"14","Ella",188,2016
"15","Lina",187,2016
"16","Lea",175,2016
"17","Emily",174,2016
"18","Clara",170,2016
"19","Marlene",164,2016
"20","Mira",164,2016
